"BUSI_DT","Eng_Prefix","Full_Name","Thai_Prefix","First_Name","Surname","Bank_Name","Position"
"2026-01-15","Ms.","นางสาววาสนา สุระกิจ","นางสาว","วาสนา","สุระกิจ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวสวคนธ์ เมฆาสวัสดิ์","นางสาว","สวคนธ์","เมฆาสวัสดิ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวจริภรณ์ กิจเจริญไพศาล","นางสาว","จริภรณ์","กิจเจริญไพศาล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวจิตราวิณี วรรณกร","นางสาว","จิตราวิณี","วรรณกร","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายณพวิทย์ โทเทอดวิไล","นาย","ณพวิทย์","โทเทอดวิไล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวณัชชา อากาศฤกษ์","นางสาว","ณัชชา","อากาศฤกษ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mrs.","นางนลินรัตน์ ทรรทรานนท์","นาง","นลินรัตน์","ทรรทรานนท์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายปัญญา คงคาไพศาล","นาย","ปัญญา","คงคาไพศาล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายไพศาล วรเศรษฐ์ศิริ","นาย","ไพศาล","วรเศรษฐ์ศิริ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Dr.","ดร.สรรเพชญ สุขเพสน์","ดร.","สรรเพชญ","สุขเพสน์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mrs.","นางสุนันท์ ศิริอักษร","นาง","สุนันท์","ศิริอักษร","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายสุรพงษ์ ศิวาลัย","นาย","สุรพงษ์","ศิวาลัย","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Dr.","ดร.อนุวรรตน์ ศรีอุดม","ดร.","อนุวรรตน์","ศรีอุดม","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายวรวุฒิ เวสารัชกิจ","นาย","วรวุฒิ","เวสารัชกิจ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายสรุจ วนรัตน์ศิริกุล","นาย","สรุจ","วนรัตน์ศิริกุล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายชัยยศ ตันพิสุทธิ์","นาย","ชัยยศ","ตันพิสุทธิ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mrs.","นางอุษา เกาศล","นาง","อุษา","เกาศล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายสิทธิโชค เตชพาหพงษ์","นาย","สิทธิโชค","เตชพาหพงษ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายรักษภาส วิชินโรจน์จรัล","นาย","รักษภาส","วิชินโรจน์จรัล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mrs.","นางสาธินี ศรีรัตนพงษ์","นาง","สาธินี","ศรีรัตนพงษ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวชนกสุดา ชิตรัตน์","นางสาว","ชนกสุดา","ชิตรัตน์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวชุติมา กิตติบัณฑูร","นางสาว","ชุติมา","กิตติบัณฑูร","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวนันทิกา ศันสนียเกียรติ","นางสาว","นันทิกา","ศันสนียเกียรติ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวบุญวรงค์ บุณยไวโรจน์","นางสาว","บุญวรงค์","บุณยไวโรจน์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mrs.","นางวราลักษณ์ อภิกุลวณิช","นาง","วราลักษณ์","อภิกุลวณิช","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายสรศักดิ์ พึ่งรัตน์","นาย","สรศักดิ์","พึ่งรัตน์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายสิริพัฒน์ อรรฆย์ศุภกุล","นาย","สิริพัฒน์","อรรฆย์ศุภกุล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวอาภรณ์ ศิริศรีสกุลชัย","นางสาว","อาภรณ์","ศิริศรีสกุลชัย","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวศิริพร เริงจิตต์","นางสาว","ศิริพร","เริงจิตต์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายกุลวัชร์ พุ่มเทียน","นาย","กุลวัชร์","พุ่มเทียน","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายจักรพงศ์ โอแสงธรรมนนท์","นาย","จักรพงศ์","โอแสงธรรมนนท์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายรวินท์ เบญจตันติกุล","นาย","รวินท์","เบญจตันติกุล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Dr.","ดร.วราธัช ตันติวรวงศ์","ดร.","วราธัช","ตันติวรวงศ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายศิริวัฒน์ วิศลดิลกพันธ์","นาย","ศิริวัฒน์","วิศลดิลกพันธ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายสิริพล จิตรจง","นาย","สิริพล","จิตรจง","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายกำพล สุทธิพิเชษฐ์","นาย","กำพล","สุทธิพิเชษฐ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
