"BUSI_DT","Prefixed_Name","Full_Name","First_Name","Surname","Bank_Name","Position"
"2025-10-25","Mr.","นายเคนตะ คาซาอิ","เคนตะ","คาซาอิ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายมาซาฟูมิ นาคายามะ","มาซาฟูมิ","นาคายามะ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายโทโมะ ยามาดะ","โทโมะ","ยามาดะ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวลดาวรรณ ไชยมหาพฤกษ์","ลดาวรรณ","ไชยมหาพฤกษ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายพิธา ตัณฑ์ไพโรจน์","พิธา","ตัณฑ์ไพโรจน์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางอุดมพร ปิ่นจินดา","อุดมพร","ปิ่นจินดา","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวชญาน์ธิป พันธุ์มณี","ชญาน์ธิป","พันธุ์มณี","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายพรเทพ ถิรสุนทรากุล","พรเทพ","ถิรสุนทรากุล","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายศักดิ์สิทธิ์ วงศ์ศุภกฤต","ศักดิ์สิทธิ์","วงศ์ศุภกฤต","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายสมหวัง โตรักตระกูล","สมหวัง","โตรักตระกูล","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางอริษา เฟื่องอารมย์","อริษา","เฟื่องอารมย์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายณรงค์ชัย พัฒนทอง","ณรงค์ชัย","พัฒนทอง","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวกมลวรรณ อิ่มฤทัยเจริญโชค","กมลวรรณ","อิ่มฤทัยเจริญโชค","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวพัสสนีย์ อุดมพาณิชย์","พัสสนีย์","อุดมพาณิชย์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวเยาวลักษณ์ จรรยาภรณ์พงษ์","เยาวลักษณ์","จรรยาภรณ์พงษ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวดาริกา ภคภาสน์วิวัฒน์","ดาริกา","ภคภาสน์วิวัฒน์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายธีรพงศ์ มหธรรม","ธีรพงศ์","มหธรรม","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายเทซึ นาคากาวะ","เทซึ","นาคากาวะ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายวันชัยระบิน จิตวัฒนาธรรม","วันชัยระบิน","จิตวัฒนาธรรม","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายปรีชา เอนกวศินชัย","ปรีชา","เอนกวศินชัย","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายสุพงษ์ เจียงพัฒนากิจ","สุพงษ์","เจียงพัฒนากิจ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางดวงแข คุณวิเศษพงษ์","ดวงแข","คุณวิเศษพงษ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวธนิตา กิตติศาสตรา","ธนิตา","กิตติศาสตรา","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวเตชินี อุดมวัจนศักดิ์","เตชินี","อุดมวัจนศักดิ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางพิศมัย สีขาว","พิศมัย","สีขาว","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางคาริต้า โมราเลส","คาริต้า","โมราเลส","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายปัญชลิต กังเสถียร","ปัญชลิต","กังเสถียร","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายกิตินันท์ ตุ่มเงิน","กิตินันท์","ตุ่มเงิน","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวสุภัทรา อภัยวงศ์","สุภัทรา","อภัยวงศ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวพัชรินทร์ บุญล่ำสัน","พัชรินทร์","บุญล่ำสัน","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางเศรษฐศิริ เศรษฐภากรณ์","เศรษฐศิริ","เศรษฐภากรณ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายสุชาติ แซ่ไหล","สุชาติ","แซ่ไหล","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายวีระชัย ตั้งภรณ์พรรณ","วีระชัย","ตั้งภรณ์พรรณ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวสุกัญญา รัตนอมรชัย","สุกัญญา","รัตนอมรชัย","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางฉัตรฤดี งามวลัยรัตน์","ฉัตรฤดี","งามวลัยรัตน์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวมิ่งขวัญ พัฒนวงศ์","มิ่งขวัญ","พัฒนวงศ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายพูนสิทธิ์ ว่องธวัชชัย","พูนสิทธิ์","ว่องธวัชชัย","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางอรวรรณ สุจริตตายน","อรวรรณ","สุจริตตายน","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวภิสรา พัฒนศิริ","ภิสรา","พัฒนศิริ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวพรนภา ภัทรเสถียรกุล","พรนภา","ภัทรเสถียรกุล","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางอกนิษฐ์ แมททิสัน","อกนิษฐ์","แมททิสัน","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายเกรียงศักดิ์ จงสุขกิจพานิช","เกรียงศักดิ์","จงสุขกิจพานิช","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายโยชิโนริ คากะ","โยชิโนริ","คากะ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายฤทธิศักดิ์ พัฒนกูล","ฤทธิศักดิ์","พัฒนกูล","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวมณฑิรา อารยางกูร","มณฑิรา","อารยางกูร","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางพนารัตน์ ภรจิรพันธุ์","พนารัตน์","ภรจิรพันธุ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายโยชิโอะ อุเอะยามะ","โยชิโอะ","อุเอะยามะ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายนิทัศน์ เลิศพิทยานุกูล","นิทัศน์","เลิศพิทยานุกูล","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายมงคล เมฆาธานินทร์","มงคล","เมฆาธานินทร์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวอุณา วัชโรบล","อุณา","วัชโรบล","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวศรีสุดา นิตติวัฒน์","ศรีสุดา","นิตติวัฒน์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายคณิต จันทรเรืองนภา","คณิต","จันทรเรืองนภา","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายกฤตภัค สุวรรณผ่อง","กฤตภัค","สุวรรณผ่อง","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวธญา วิชญเธียร","ธญา","วิชญเธียร","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายกรัณย์ สัจจรักษ์","กรัณย์","สัจจรักษ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายอากิฮิโระ นิชิอิ","อากิฮิโระ","นิชิอิ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาววนิดา ผลเจริญ","วนิดา","ผลเจริญ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายพยุง ลีวงศ์เจริญ","พยุง","ลีวงศ์เจริญ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางธิดารัตน์ เศรษฐวรวิจิตร","ธิดารัตน์","เศรษฐวรวิจิตร","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
