"BUSI_DT","Prefixed_Name","Full_Name","First_Name","Surname","Bank_Name","Position"
"2025-10-25","Mr.","นายเคนอิจิ ยามาโตะ","เคนอิจิ","ยามาโตะ","ธนาคารกรุงศรีอยุธยา","กรรมการผู้จัดการใหญ่และประธานเจ้าหน้าที่บริหาร"
"2025-10-25","Ms.","นางสาวดวงดาว วงค์พนิตกฤต","ดวงดาว","วงค์พนิตกฤต","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านการเงิน"
"2025-10-25","Mr.","นายชานดาเชการ์ สุบรามาเนี่ยน คิสชูมันการัม","ชานดาเชการ์","สุบรามาเนี่ยน คิสชูมันการัม","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านบริหารความเสี่ยง"
"2025-10-25","Mr.","นายบุนเซอิ โอคุโบะ","บุนเซอิ","โอคุโบะ","ธนาคารกรุงศรีอยุธยา","ประธานกลุ่มธุรกิจธนกิจพาณิชย์เกี่ยวกับญี่ปุ่น"
"2025-10-25","Mr.","นายสยาม ประสิทธิศิริกุล","สยาม","ประสิทธิศิริกุล","ธนาคารกรุงศรีอยุธยา","ประธานกลุ่มธุรกิจลูกค้ารายย่อย และลูกค้าบุคคล"
"2025-10-25","Ms.","นางสาวสายสุนีย์ หาญประเทืองศิลป์","สายสุนีย์","หาญประเทืองศิลป์","ธนาคารกรุงศรีอยุธยา","ประธานกลุ่มสนับสนุนธุรกิจด้านเทคโนโลยีสารสนเทศและดิจิทัล"
"2025-10-25","Mr.","นายประกอบ เพียรเจริญ","ประกอบ","เพียรเจริญ","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านลูกค้าธุรกิจขนาดใหญ่และวาณิชธนกิจ"
"2025-10-25","Ms.","นางสาวดวงกมล ลิมป์พวงทิพย์","ดวงกมล","ลิมป์พวงทิพย์","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านลูกค้าธุรกิจ SME"
"2025-10-25","Mr.","นายคงสิน คงคา","คงสิน","คงคา","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านธุรกิจสินเชื่อยานยนต์"
"2025-10-25","Mr.","นายอธิศ รุจิรวัฒน์","อธิศ","รุจิรวัฒน์","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านกรุงศรีคอนซูมเมอร์"
"2025-10-25","Mr.","นายฮิโรทากะ คุโรกิ","ฮิโรทากะ","คุโรกิ","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านโกลบอลมาร์เก็ตส์"
"2025-10-25","Ms.","นางสาวพัทธ์หทัย กุลจันทร์","พัทธ์หทัย","กุลจันทร์","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านธุรกิจอาเซียน"
"2025-10-25","Mr.","นายไพโรจน์ ชื่นครุฑ","ไพโรจน์","ชื่นครุฑ","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านกลยุทธ์และวางแผนธุรกิจองค์กร"
"2025-10-25","Mr.","นายวศิน อุดมรัชตวนิชย์","วศิน","อุดมรัชตวนิชย์","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านทรัพยากรบุคคล"
"2025-10-25","Mr.","นายกิตติชัย สิงหะ","กิตติชัย","สิงหะ","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านกำกับดูแลธุรกิจ"
"2025-10-25","Ms.","นางสาวพรรณทิพา หาญนรเศรษฐ์","พรรณทิพา","หาญนรเศรษฐ์","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านตรวจสอบภายใน"
"2025-10-25","Mr.","นายซาโตชิ คิซากิ","ซาโตชิ","คิซากิ","ธนาคารกรุงศรีอยุธยา","รองประธานกลุ่มธุรกิจธนกิจพาณิชย์เกี่ยวกับญี่ปุ่นและบรรษัทข้ามชาติ"
"2025-10-25","Mr.","นายฐิติวร โชตยาภรณ์","ฐิติวร","โชตยาภรณ์","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านกฏหมาย"
"2025-10-25","Mr.","นายทาดาจิกะ คิมูระ","ทาดาจิกะ","คิมูระ","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านพิจารณาอนุมัติสินเชื่อ"
"2025-10-25","Mr.","นายพชร วันรัตน์เศรษฐ","พชร","วันรัตน์เศรษฐ","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านเทคโนโลยีสารสนเทศ"
"2025-10-25","Mr.","นายรถพร เอกบุตร","รถพร","เอกบุตร","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านดิจิทัลและนวัตกรรม"
"2025-10-25","Mr.","นายตุลย์ โรจน์เสรี","ตุลย์","โรจน์เสรี","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านข้อมูลและการวิเคราะห์ระดับองค์กร"
"2025-10-25","Mr.","นายวิโรจน์ ชื่นรัตนกุล","วิโรจน์","ชื่นรัตนกุล","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านปฏิบัติการ"
"2025-10-25","Ms.","นางสาวดมิศา พิศิษฐวานิช","ดมิศา","พิศิษฐวานิช","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านผลิตภัณฑ์และการตลาดลูกค้ารายย่อย"
"2025-10-25","Ms.","นางสาวกนกวรรณ ศุภนันตฤกษ์","กนกวรรณ","ศุภนันตฤกษ์","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านเครือข่ายการขาย"
"2025-10-25","Ms.","นางสาวนิลวรรณ จีระบุญ","นิลวรรณ","จีระบุญ","ธนาคารกรุงศรีอยุธยา","ประธานคณะเจ้าหน้าที่ด้านธุรกรรมการเงิน"
"2025-10-25","Mr.","นายทาคูชิ ยาโนะ","ทาคูชิ","ยาโนะ","ธนาคารกรุงศรีอยุธยา","รองประธานคณะเจ้าหน้าที่ด้านธุรกรรมการเงิน"
"2025-10-25","Mr.","นายไดสึเกะ อิโนะอุเอะ","ไดสึเกะ","อิโนะอุเอะ","ธนาคารกรุงศรีอยุธยา","รองประธานคณะเจ้าหน้าที่ด้านโกลบอลมาร์เก็ตส์"
"2025-10-25","Mr.","นายมาซาโอะ โคจิมะ","มาซาโอะ","โคจิมะ","ธนาคารกรุงศรีอยุธยา","รองประธานคณะเจ้าหน้าที่ด้านธุรกิจอาเซียน"
"2025-10-25","Mr.","นายฮิโรชิ คุริฮาระ","ฮิโรชิ","คุริฮาระ","ธนาคารกรุงศรีอยุธยา","รองประธานคณะเจ้าหน้าที่ด้านกลยุทธ์และวางแผนธุรกิจองค์กร และประธานโครงการปฏิรูปองค์กร"
"2025-10-25","Mr.","นายทาคาชิ วาคุชิมะ","ทาคาชิ","วาคุชิมะ","ธนาคารกรุงศรีอยุธยา","รองประธานคณะเจ้าหน้าที่ด้านการเงิน"
"2025-10-25","Mr.","นายโนบุฮิสะ ฮามาดะ","โนบุฮิสะ","ฮามาดะ","ธนาคารกรุงศรีอยุธยา","รองประธานคณะเจ้าหน้าที่ด้านกำกับดูแลธุรกิจ"
"2025-10-25","Mr.","นายธงชัย วาจาพัฒนา","ธงชัย","วาจาพัฒนา","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายศรัณย์ ศศะนาวิน","ศรัณย์","ศศะนาวิน","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางบานช้อย พัฒนพงษ์ไพบูลย์","บานช้อย","พัฒนพงษ์ไพบูลย์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวเบญจมาส เหลืองเป็นทอง","เบญจมาส","เหลืองเป็นทอง","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Ms.","นางสาวแจ่มจันทร์ ศิริกาญจนาวงศ์","แจ่มจันทร์","ศิริกาญจนาวงศ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายธรรมศักดิ์ เจนพัฒนพงศ์","ธรรมศักดิ์","เจนพัฒนพงศ์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายปุณพจน์ ศิริอำพันธ์กุล","ปุณพจน์","ศิริอำพันธ์กุล","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายปิติ กระแสเศียร","ปิติ","กระแสเศียร","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mrs.","นางปณิชา บุรพรัตน์","ปณิชา","บุรพรัตน์","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
"2025-10-25","Mr.","นายสุทธิพงษ์ พูนเสริมลาภ","สุทธิพงษ์","พูนเสริมลาภ","ธนาคารกรุงศรีอยุธยา","ผู้ช่วยกรรมการผู้จัดการใหญ่"
